train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.97756,0.9169,0.07157655242268386,0.2679913865912492,0.02244,0.0831
0.97698,0.9183,0.0718893691030381,0.263851490749675,0.02302,0.0817
0.97742,0.9188,0.07007436288039551,0.2639456562175872,0.02258,0.0812
0.97754,0.9169,0.07109288884626935,0.2675612920978267,0.02246,0.0831
0.97854,0.9177,0.07006537263064891,0.2681285187269852,0.02146,0.0823
0.97926,0.9194,0.06843009320995234,0.2671623832196187,0.02074,0.0806
0.97884,0.919,0.06710642971612914,0.2625528959806558,0.02116,0.081
0.97908,0.9173,0.0674265005942577,0.26797289605353286,0.02092,0.0827
0.97836,0.9197,0.06844197862479083,0.2657815837034374,0.02164,0.0803
0.97818,0.9183,0.06613310128259842,0.26817046770244646,0.02182,0.0817
0.97908,0.918,0.06513480027980359,0.2698821647057108,0.02092,0.082
0.98008,0.9175,0.06420205799324433,0.27141658978382494,0.01992,0.0825
0.98038,0.9188,0.06409092859634201,0.2707826643707646,0.01962,0.0812
0.98048,0.9206,0.06291967598468903,0.2659611066293185,0.01952,0.0794
0.97992,0.9196,0.0628989599073482,0.2672092772925356,0.02008,0.0804
0.97934,0.9177,0.06369374951590663,0.26581668011417053,0.02066,0.0823
0.97984,0.92,0.06234609109380514,0.26582437710967033,0.02016,0.08
0.98078,0.9189,0.06159711065118575,0.2662540249716324,0.01922,0.0811
0.9796,0.9212,0.061690240541039526,0.26281098712971257,0.0204,0.0788
0.98142,0.9206,0.06087674758375606,0.2658130826701404,0.01858,0.0794
0.98104,0.9204,0.06150971079612022,0.2674079661488913,0.01896,0.0796
0.98144,0.9182,0.06013692333779829,0.2708785268151836,0.01856,0.0818
0.98168,0.9193,0.059170511353503714,0.2689027166955031,0.01832,0.0807
0.98126,0.9196,0.05845528523749707,0.27052756273158035,0.01874,0.0804
0.98134,0.9203,0.059492185635639884,0.2687331543179454,0.01866,0.0797
0.98006,0.9195,0.06116774170409383,0.2669038141419174,0.01994,0.0805
0.98164,0.9208,0.0579732664767891,0.26864932090708404,0.01836,0.0792
0.9811,0.92,0.05944943024069452,0.2652842233989649,0.0189,0.08
